date ,debt,gdp,m3 ,emp,inf
31-03-2016,92.14,1.88,5.2,10.3,0.1
30-06-2016,92.06,1.69,4.9,10.2,-0.1
30-09-2016,90.95,1.71,5.0,9.9,0.3
31-12-2016,90.1,2.07,4.7,9.7,0.7
31-03-2017,90.32,2.19,5.0,9.5,1.7
30-06-2017,90.21,2.68,4.9,9.2,1.5
30-09-2017,89.3,3.04,4.9,9.0,1.5
31-12-2017,87.69,3.06,4.9,8.7,1.4
31-03-2018,87.67,2.52,4.2,8.5,1.3
30-06-2018,87.17,2.24,4.1,8.3,1.7
30-09-2018,87.02,1.58,3.7,8.0,2.1
31-12-2018,85.76,1.21,3.9,7.9,1.9
31-03-2019,86.31,1.56,4.3,7.8,1.4
30-06-2019,86.15,1.3,4.8,7.6,1.4
30-09-2019,85.77,1.39,5.6,7.5,0.9
31-12-2019,84,0.98,5.4,7.4,1.0
31-03-2020,86.23,-3.29,6.1,7.3,1.1
30-06-2020,95.01,-14.63,8.8,7.6,0.2
30-09-2020,97.31,-4.15,10.0,8.6,0.0
31-12-2020,98.1,-4.89,11.3,8.3,-0.3
